,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
101,20170717,RB888,2739.0,2647.0,2780.0,2646.0,6886134.0,113.78336855040743,69.90365968423112,127.71884301305023,60.96565025719772,4.0490400889618385
102,20170718,I888,523.5,503.0,530.5,502.5,2832810.0,13.953317437060434,70.16242639566431,151.33862900853228,53.048626276595854,12.73612744221087
103,20170718,J888,1515.5,1518.0,1531.0,1500.0,148668.0,73.08068560330162,79.43732552478168,113.37721080144073,80.56436194425038,12.73612744221087
104,20170718,RB888,2698.0,2739.0,2764.0,2685.0,6543818.0,112.3562414229682,67.15659972403618,116.64500084779279,60.96565025719771,12.73612744221087
105,20170719,I888,538.5,524.0,541.5,523.5,2185908.0,16.390554333174293,72.62295935965128,173.79367720465922,57.63754818907155,13.842763068181895
106,20170719,J888,1558.5,1514.0,1566.5,1509.5,185856.0,76.1264934905148,81.08873926012637,119.99564305748422,82.88832781233062,13.842763068181895
107,20170719,RB888,2791.0,2710.0,2800.0,2695.0,6243064.0,116.93987101355287,69.92948230444061,122.83634202510939,63.85376739576023,13.842763068181895
108,20170720,I888,523.5,541.0,543.0,522.0,2434782.0,16.97585173619092,66.91461790202693,148.33543471845934,57.63754818907154,11.784374575852135
109,20170720,J888,1530.5,1558.0,1563.0,1524.5,180910.0,75.5188206231287,76.9270631506907,110.68816241230004,82.8883278123306,11.784374575852135
110,20170720,RB888,2608.0,2779.0,2787.0,2600.0,8574736.0,105.3584803916333,59.67392293091654,84.79867912491999,35.56035376738637,11.784374575852135
111,20170721,I888,527.5,524.0,529.5,515.0,2168174.0,17.542071672116435,67.61679683406905,126.68959449732095,47.17743597889221,9.275097266643598
112,20170721,J888,1559.0,1529.0,1565.0,1502.5,261816.0,76.33666945574919,78.11000520875764,106.98101531152045,68.61125352260113,9.275097266643598
113,20170721,RB888,2637.0,2622.0,2659.0,2579.0,6661080.0,97.28432530750706,60.62067757551562,66.92976804123685,30.245973711488915,9.275097266643598
114,20170724,I888,518.5,529.5,531.0,508.5,2139696.0,17.098581254886142,64.43383524660652,109.0331874933307,38.08260453333131,4.072287776667775
115,20170724,J888,1511.0,1557.0,1587.0,1486.0,310982.0,72.44589065755167,71.70486214006503,96.02589623572021,71.02884407447566,4.072287776667775
116,20170724,RB888,2628.0,2640.0,2678.0,2567.0,5893656.0,89.16282783719726,60.16717593291857,62.66217937628731,32.79412471032997,4.072287776667775
117,20170725,I888,533.0,519.5,537.5,519.0,2525632.0,17.662852285580016,67.02121516422885,127.42248062015528,41.91923064698942,6.386879455473121
118,20170725,J888,1545.0,1522.5,1551.5,1496.0,200230.0,71.16623371855644,73.30867342004233,94.15076634344688,71.02884407447564,6.386879455473121
119,20170725,RB888,2680.0,2635.0,2702.0,2597.0,6185898.0,85.75489186413051,61.87202489898356,71.24680891169002,35.95330173190715,6.386879455473121
120,20170726,I888,524.5,537.5,541.0,520.5,2179768.0,17.250510084089,64.18942647556693,117.92363092811537,43.91940473729646,3.2490352596372114
121,20170726,J888,1550.5,1551.5,1576.5,1544.5,196168.0,69.76960643318125,73.55946829822706,105.48703950907522,73.66288047241967,3.2490352596372114
122,20170726,RB888,2680.0,2691.0,2751.0,2659.0,6233630.0,82.10338967972666,61.87202489898356,81.1246723181148,41.91262575447219,3.2490352596372114
123,20170727,I888,533.5,525.5,534.0,521.5,1825322.0,17.42170858100326,65.77343913524753,113.20315176430297,43.91940473729646,4.995802066389201
124,20170727,J888,1564.5,1543.0,1569.0,1531.0,150958.0,68.95239211444391,74.19786803453647,99.68960793493872,65.00312604968639,4.995802066389201
125,20170727,RB888,2682.0,2667.0,2711.0,2616.0,6196006.0,78.45708348300059,61.93907467333617,67.52271759193478,30.520251897372404,4.995802066389201
126,20170728,I888,536.5,532.5,540.5,529.5,1663260.0,17.58732560818413,66.28764667896422,119.76888155179546,47.738741922004394,5.630535437721781
127,20170728,J888,1571.0,1568.0,1578.0,1550.5,155154.0,68.02336649855192,74.49365519541554,101.2464903338875,66.20410385047614,5.630535437721781
128,20170728,RB888,2670.0,2678.0,2707.0,2642.0,5509860.0,73.77816714765049,61.27030262716072,65.18586051137474,30.520251897372397,5.630535437721781
129,20170731,I888,577.0,536.5,577.0,536.0,2145374.0,20.645252472176196,72.1342423641375,171.37949260042302,62.903897572944565,13.014418596460775
130,20170731,J888,1677.0,1574.0,1688.0,1568.5,271140.0,74.70808283588235,78.62702665407905,142.23142156089006,76.66597317338064,13.014418596460775
131,20170731,RB888,2845.0,2677.0,2852.0,2671.0,6960054.0,82.79294187723008,66.69529411450233,107.35277653381056,46.934829033197886,13.014418596460775
132,20170801,I888,576.0,578.5,584.5,572.5,1355682.0,22.725874088565774,71.8161127348809,186.04210127062393,65.12665809371396,10.598555582249755
133,20170801,J888,1666.0,1675.0,1680.0,1651.0,126676.0,78.23497709205753,77.28256684258103,147.22067554180015,76.66597317338062,10.598555582249755
134,20170801,RB888,2810.0,2822.0,2871.0,2805.0,4104670.0,86.1927482070987,64.81685902785226,117.7248551393413,48.634603887236224,10.598555582249755
135,20170802,I888,573.5,575.5,577.0,561.5,2000100.0,23.90097518190987,71.00622958652434,153.90889392058062,50.94645568058274,6.696082221385719
136,20170802,J888,1703.0,1658.0,1711.5,1648.0,142272.0,82.97364222122928,78.5583211815953,153.2437248388586,78.81220372644371,6.696082221385719
137,20170802,RB888,2837.0,2807.0,2860.0,2774.0,3965622.0,89.9645055823953,65.59025417189793,110.91713452496583,40.770225046148525,6.696082221385719
138,20170803,I888,573.0,571.5,586.5,565.0,2534086.0,24.50884630037092,70.84094283143408,148.25962253461302,54.54972227972322,5.524346593324812
139,20170803,J888,1681.5,1709.0,1722.5,1669.0,254980.0,84.06275342408367,75.99300211173421,147.78308626540445,79.5155306232595,5.524346593324812
140,20170803,RB888,2888.0,2827.0,2903.0,2814.0,4027018.0,95.85601196484458,67.0073953079376,127.5658592412924,45.07899612087424,5.524346593324812
141,20170804,I888,578.0,574.5,585.5,568.5,2259962.0,25.09422090450812,71.52659563165511,141.5318080357145,54.54972227972322,10.329703740435226
142,20170804,J888,1670.5,1677.0,1686.0,1636.0,278232.0,83.09684931887591,74.70190662111347,122.76029514975622,62.24420823807083,10.329703740435226
143,20170804,RB888,2994.0,2892.0,3011.0,2877.0,3464504.0,107.63447697406991,69.69124780134209,168.93032898806692,54.053056034788774,10.329703740435226
144,20170807,I888,593.5,578.5,617.0,571.5,3670562.0,26.475783652111545,73.52315385308668,163.3568519474561,64.4452324161699,23.3019258019122
145,20170807,J888,1705.5,1663.0,1769.0,1640.0,426406.0,84.12252102790876,76.04170452881355,142.36569092521876,70.00349877617407,23.3019258019122
146,20170807,RB888,3191.0,2992.0,3213.0,2978.0,4377190.0,131.00798565359673,73.79033475705893,240.0112549240285,65.36735143910697,23.3019258019122
147,20170808,I888,578.5,594.0,603.5,572.5,2942900.0,26.082241343148553,68.70050822439546,135.17596566523605,64.4452324161699,9.80970927175339
148,20170808,J888,1739.0,1705.0,1756.0,1701.0,251796.0,86.58362776744298,77.23544701285925,151.827699577954,70.00349877617406,9.80970927175339
149,20170808,RB888,3158.0,3182.0,3231.0,3128.0,2527256.0,145.23632212176835,72.10056051449996,240.74680641991426,66.16108035737886,9.80970927175339
150,20170809,I888,596.0,580.5,598.0,576.5,3084558.0,26.84633055319466,70.99655560577011,135.36173089925632,64.4452324161699,11.361712291731035
151,20170809,J888,1803.5,1738.5,1808.0,1734.5,268600.0,92.57269156512757,79.2906699906163,174.03666119599626,73.85074818946714,11.361712291731035
152,20170809,RB888,3280.0,3165.0,3282.0,3141.0,7154166.0,164.27445066220525,74.34719876614858,236.773324487067,68.35751576865442,11.361712291731035
153,20170810,I888,593.0,593.5,601.5,582.0,3010998.0,26.902777110659372,70.08480949335923,128.68063575867566,65.46570380916988,6.571896461059341
154,20170810,J888,1819.0,1803.0,1826.5,1776.0,241028.0,97.42134079303196,79.74526189004116,173.5581752644331,75.06690082552998,6.571896461059341
155,20170810,RB888,3238.0,3262.0,3290.0,3189.0,7482000.0,174.01550551887613,72.27450327376806,206.85932187815826,68.69820212178034,6.571896461059341
156,20170811,I888,565.5,589.5,600.5,557.0,3675534.0,24.480364468905236,62.4765022187594,87.07518929388965,35.7223452653759,6.513107244870667
157,20170811,J888,1824.5,1814.0,1878.0,1780.5,453076.0,100.5380240832585,79.90716349068836,166.86132252092696,78.09807138383039,6.513107244870667
158,20170811,RB888,3136.0,3219.0,3267.0,3086.0,9155740.0,171.6484770167449,67.54375100375458,155.22265810234038,46.92637564452852,6.513107244870667
159,20170814,I888,556.5,565.5,572.5,554.0,2492266.0,21.595757047095617,60.261682053263264,55.956778212690686,32.66335611032787,4.698454718965721
160,20170814,J888,1765.5,1807.0,1838.5,1753.0,404554.0,97.19283338434252,73.3966763801691,126.34390695567596,66.5410835481704,4.698454718965721
161,20170814,RB888,3081.0,3135.0,3168.0,3060.0,7245232.0,163.5100714362402,65.16449116508713,118.67130993838704,41.981933325409784,4.698454718965721
162,20170815,I888,559.5,557.5,563.0,548.0,2429130.0,19.325654378941522,60.74158839378732,43.546877994340804,26.564717118802378,3.4315465762123156
